               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.058375,            0.017753,            0.012367,              0.4832,             0.30744,             0.27895,            0.094315,             0.05798,             0.01426,            0.012913,           0.0097528,           0.0097528,           0.0097528
                  55,            0.060339,            0.017881,            0.014271,             0.49366,             0.31874,             0.30194,             0.10582,            0.053948,            0.014625,            0.012183,           0.0097435,           0.0097435,           0.0097435
                  56,            0.058161,            0.017346,            0.013731,             0.43621,             0.33126,             0.28929,             0.10748,            0.054346,              0.0147,            0.012361,            0.009734,            0.009734,            0.009734
                  57,            0.058576,            0.018246,            0.012391,             0.67079,              0.2938,             0.31501,             0.11997,            0.054936,            0.014401,            0.012603,           0.0097243,           0.0097243,           0.0097243
                  58,             0.05867,            0.017475,            0.012688,             0.50633,             0.35401,             0.32213,             0.11467,            0.056741,            0.014314,            0.012188,           0.0097145,           0.0097145,           0.0097145
                  59,            0.059203,            0.017803,             0.01416,             0.73871,             0.27038,             0.29994,             0.10788,             0.05558,             0.01428,            0.012127,           0.0097045,           0.0097045,           0.0097045
                  60,            0.058012,            0.018262,            0.012473,             0.55529,             0.32463,             0.30192,             0.10647,            0.054347,            0.014544,            0.012071,           0.0096943,           0.0096943,           0.0096943
                  61,            0.058295,            0.018058,            0.014322,             0.53793,             0.30928,              0.3061,             0.10617,             0.05576,            0.014712,            0.012653,            0.009684,            0.009684,            0.009684
                  62,            0.058016,            0.017474,            0.012696,             0.33953,             0.29861,             0.25336,            0.095586,            0.056533,            0.014086,            0.013322,           0.0096735,           0.0096735,           0.0096735
                  63,             0.06077,            0.017865,            0.012067,             0.56628,             0.33101,             0.31495,             0.11432,            0.053447,            0.014441,            0.010991,           0.0096628,           0.0096628,           0.0096628
                  64,            0.059006,            0.018222,            0.012166,             0.39464,             0.38987,             0.33443,              0.1251,            0.054105,            0.014502,            0.010847,            0.009652,            0.009652,            0.009652
                  65,            0.055644,            0.018912,             0.01225,             0.54878,             0.32767,             0.32404,             0.11381,            0.053123,            0.014402,            0.013361,            0.009641,            0.009641,            0.009641
                  66,             0.05645,            0.017213,            0.011522,             0.51428,             0.36452,             0.33125,             0.12491,            0.053266,             0.01427,            0.011299,           0.0096299,           0.0096299,           0.0096299
                  67,            0.056833,            0.017266,            0.012208,             0.34102,              0.3413,              0.3023,             0.10715,            0.054826,            0.015024,            0.013087,           0.0096186,           0.0096186,           0.0096186
                  68,            0.055573,            0.017627,            0.012704,             0.40086,             0.35266,              0.3144,             0.12392,            0.054586,            0.014602,            0.012807,           0.0096071,           0.0096071,           0.0096071
                  69,             0.05631,            0.017802,            0.011433,             0.51711,             0.32563,             0.31062,             0.11589,            0.055567,            0.014832,            0.012142,           0.0095955,           0.0095955,           0.0095955
                  70,            0.057519,            0.017074,            0.011792,              0.3258,             0.36063,             0.31227,             0.12406,            0.053486,            0.015403,            0.010416,           0.0095837,           0.0095837,           0.0095837
                  71,            0.057201,            0.016898,            0.012375,             0.64107,             0.35512,             0.36758,             0.13893,            0.053252,            0.013922,           0.0097841,           0.0095717,           0.0095717,           0.0095717
                  72,            0.056599,            0.017937,            0.011746,             0.58462,             0.37843,             0.36208,             0.13549,            0.052608,            0.013957,           0.0097613,           0.0095596,           0.0095596,           0.0095596
                  73,            0.058565,             0.01736,            0.010841,             0.59572,             0.34361,              0.3359,             0.12157,            0.053358,            0.014403,            0.010548,           0.0095473,           0.0095473,           0.0095473
                  74,            0.056574,            0.017445,             0.01014,             0.59405,             0.32736,               0.337,             0.13428,            0.053196,             0.01445,           0.0099277,           0.0095349,           0.0095349,           0.0095349
                  75,            0.056493,            0.017125,            0.011726,             0.69349,             0.35366,             0.37001,             0.13608,            0.052306,            0.014203,           0.0092797,           0.0095223,           0.0095223,           0.0095223
                  76,             0.05535,            0.018182,            0.011005,             0.63525,             0.36783,             0.37547,             0.14473,            0.050582,             0.01387,           0.0090666,           0.0095095,           0.0095095,           0.0095095
                  77,            0.056585,            0.017556,            0.013208,             0.40577,             0.36352,             0.33603,             0.12495,            0.054515,            0.014698,            0.020365,           0.0094966,           0.0094966,           0.0094966
                  78,            0.058544,            0.018543,            0.014085,             0.37569,             0.34536,             0.31666,             0.11745,            0.053665,            0.014716,            0.012509,           0.0094835,           0.0094835,           0.0094835
                  79,            0.058119,            0.017742,            0.012423,              0.4202,             0.35264,             0.35464,             0.12906,            0.052271,            0.014045,            0.010953,           0.0094703,           0.0094703,           0.0094703
                  80,            0.056945,             0.01794,            0.012054,              0.4266,             0.39915,             0.35414,             0.12167,            0.050557,             0.01415,            0.010729,           0.0094569,           0.0094569,           0.0094569
                  81,            0.055653,            0.018049,            0.011158,             0.65933,              0.3662,             0.36898,             0.14068,             0.05038,            0.013913,            0.010716,           0.0094434,           0.0094434,           0.0094434
                  82,            0.055413,            0.017468,            0.011149,             0.38917,             0.23427,             0.23677,            0.086409,            0.056726,            0.015368,            0.018962,           0.0094297,           0.0094297,           0.0094297
                  83,            0.056117,            0.017654,             0.01044,             0.38907,             0.35943,             0.34828,             0.12732,            0.053466,            0.014217,           0.0097174,           0.0094158,           0.0094158,           0.0094158
                  84,            0.057161,            0.017287,            0.011426,             0.42247,              0.3474,             0.34302,             0.12804,            0.054254,            0.014024,           0.0099763,           0.0094018,           0.0094018,           0.0094018
                  85,            0.055773,            0.017792,            0.014109,             0.40097,             0.29618,             0.28481,             0.10074,            0.053821,            0.015823,            0.013711,           0.0093877,           0.0093877,           0.0093877
                  86,            0.055085,            0.018766,            0.011815,              0.5763,             0.33411,             0.33958,             0.13158,            0.050855,            0.014476,            0.011072,           0.0093733,           0.0093733,           0.0093733
                  87,            0.054531,            0.017521,            0.010395,             0.61403,             0.36019,             0.35374,             0.13828,            0.052497,            0.014131,           0.0094589,           0.0093589,           0.0093589,           0.0093589
                  88,            0.056378,            0.017003,            0.010124,             0.68964,             0.31514,             0.33464,             0.12778,            0.052317,            0.014161,             0.00953,           0.0093442,           0.0093442,           0.0093442
