               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.057258,            0.017256,             0.01015,             0.46556,             0.40545,             0.36674,              0.1268,             0.05251,            0.013841,           0.0096805,           0.0095473,           0.0095473,           0.0095473
                  74,            0.058345,            0.017363,            0.010045,             0.56341,             0.35144,             0.36752,             0.14159,             0.05248,            0.014048,           0.0095741,           0.0095349,           0.0095349,           0.0095349
                  75,            0.056621,            0.017163,             0.01178,             0.48886,             0.36533,             0.36588,             0.13292,            0.053474,            0.014078,           0.0097351,           0.0095223,           0.0095223,           0.0095223
                  76,            0.055246,            0.018117,            0.010752,             0.56592,             0.37248,             0.35743,             0.13395,            0.051562,            0.014099,            0.010042,           0.0095095,           0.0095095,           0.0095095
                  77,            0.054902,            0.017701,            0.012008,             0.52642,              0.3729,             0.37012,             0.14112,            0.052802,            0.014138,            0.011456,           0.0094966,           0.0094966,           0.0094966
                  78,            0.057213,              0.0181,            0.010829,             0.42579,             0.40446,             0.36682,             0.14454,            0.050758,            0.013763,           0.0089965,           0.0094835,           0.0094835,           0.0094835
                  79,             0.05654,            0.017816,            0.011423,             0.68302,              0.3735,             0.37583,             0.13836,            0.051789,            0.014134,            0.010438,           0.0094703,           0.0094703,           0.0094703
                  80,            0.056111,            0.017515,            0.011024,             0.63354,             0.34058,             0.35484,             0.12052,            0.052142,            0.013812,           0.0090985,           0.0094569,           0.0094569,           0.0094569
                  81,            0.056298,            0.017666,             0.01029,             0.61114,             0.33829,             0.34526,             0.12556,            0.051794,            0.014144,           0.0094842,           0.0094434,           0.0094434,           0.0094434
                  82,            0.055209,            0.017088,            0.010346,              0.5145,             0.39081,             0.38033,             0.14761,            0.050763,            0.013791,           0.0092775,           0.0094297,           0.0094297,           0.0094297
                  83,            0.055569,            0.017243,           0.0094231,             0.62991,             0.39701,             0.40609,             0.14078,            0.053339,             0.01363,           0.0092767,           0.0094158,           0.0094158,           0.0094158
                  84,            0.057151,            0.017026,            0.010927,              0.6293,             0.36098,             0.37318,             0.13234,            0.052073,            0.013829,           0.0091512,           0.0094018,           0.0094018,           0.0094018
                  85,            0.053463,            0.017336,            0.010451,             0.67893,             0.41653,             0.43032,             0.16173,            0.050251,            0.013765,           0.0085216,           0.0093877,           0.0093877,           0.0093877
                  86,             0.05294,            0.017719,           0.0095749,             0.64214,             0.42649,             0.44632,             0.17558,            0.049099,            0.013276,           0.0083683,           0.0093733,           0.0093733,           0.0093733
                  87,            0.052629,            0.016694,            0.009322,             0.48713,              0.4516,             0.43035,             0.17225,            0.048664,            0.013271,           0.0080776,           0.0093589,           0.0093589,           0.0093589
                  88,            0.054413,            0.016539,           0.0084555,             0.73817,              0.3973,             0.43201,             0.17131,            0.049255,            0.013368,            0.008169,           0.0093442,           0.0093442,           0.0093442
                  89,            0.054883,            0.017532,           0.0099201,             0.71998,             0.40127,             0.44634,             0.17763,            0.049035,            0.013389,           0.0078272,           0.0093295,           0.0093295,           0.0093295
                  90,            0.054157,            0.017784,           0.0090765,             0.55942,             0.43411,             0.42373,             0.17013,            0.049409,            0.013308,           0.0079333,           0.0093146,           0.0093146,           0.0093146
                  91,            0.053518,              0.0165,            0.010869,             0.62856,             0.37285,             0.41492,             0.16812,             0.04878,            0.013734,           0.0085088,           0.0092995,           0.0092995,           0.0092995
                  92,            0.054524,            0.017424,            0.010527,               0.493,             0.44943,             0.43756,             0.18257,            0.048353,            0.013778,           0.0081486,           0.0092843,           0.0092843,           0.0092843
                  93,            0.052396,            0.016416,             0.00954,             0.63609,             0.41547,             0.44331,             0.18015,             0.04798,            0.013368,           0.0077436,           0.0092689,           0.0092689,           0.0092689
                  94,            0.054003,            0.016815,           0.0088884,             0.66474,             0.39819,             0.42061,             0.16495,            0.048129,            0.013395,           0.0076325,           0.0092534,           0.0092534,           0.0092534
                  95,            0.051867,            0.016703,            0.008101,             0.69108,             0.42947,             0.44191,             0.17084,            0.048442,            0.013089,            0.007248,           0.0092377,           0.0092377,           0.0092377
                  96,            0.053182,            0.016629,            0.010291,             0.71851,             0.43008,             0.46353,               0.182,            0.048478,            0.012967,           0.0073052,           0.0092219,           0.0092219,           0.0092219
                  97,            0.053622,            0.016934,           0.0089676,             0.67875,             0.41534,              0.4562,             0.18651,            0.047807,            0.013108,           0.0071842,           0.0092059,           0.0092059,           0.0092059
                  98,            0.053124,            0.016846,           0.0085972,             0.64046,             0.45644,             0.47089,             0.18756,            0.047429,            0.013011,           0.0068811,           0.0091898,           0.0091898,           0.0091898
                  99,            0.054233,            0.017557,           0.0094254,             0.62082,             0.43522,             0.45743,              0.1964,            0.046139,            0.013407,           0.0070191,           0.0091735,           0.0091735,           0.0091735
                 100,            0.052919,            0.016992,           0.0087788,             0.57081,             0.37935,             0.40603,             0.15671,            0.049385,            0.013971,           0.0080515,           0.0091571,           0.0091571,           0.0091571
                 101,            0.055567,            0.016498,            0.007818,             0.58501,              0.4023,             0.43925,             0.18183,            0.047812,            0.013379,           0.0070402,           0.0091406,           0.0091406,           0.0091406
                 102,            0.053295,            0.016834,            0.009247,             0.53441,             0.44023,             0.44719,             0.18403,            0.048926,            0.013377,            0.006927,           0.0091239,           0.0091239,           0.0091239
                 103,            0.052996,            0.016832,           0.0083879,             0.57416,             0.44212,             0.44673,             0.19083,            0.047726,            0.013472,           0.0070887,           0.0091071,           0.0091071,           0.0091071
                 104,            0.053823,            0.016523,           0.0094525,             0.56018,             0.47179,             0.46369,             0.18399,            0.046261,            0.013604,           0.0082657,           0.0090901,           0.0090901,           0.0090901
                 105,            0.053368,            0.016858,           0.0082633,             0.58904,             0.37787,             0.40953,             0.15952,            0.048597,            0.013547,           0.0070906,            0.009073,            0.009073,            0.009073
                 106,            0.053858,            0.016588,           0.0089357,             0.45686,             0.48642,             0.43753,             0.18608,            0.047692,            0.013248,            0.007602,           0.0090557,           0.0090557,           0.0090557
                 107,            0.051386,            0.016459,           0.0089498,             0.61973,             0.45127,             0.47141,             0.19718,            0.046529,            0.013077,           0.0065048,           0.0090383,           0.0090383,           0.0090383
                 108,            0.051909,            0.015879,           0.0081454,             0.67966,             0.45158,             0.49321,             0.20811,            0.046158,            0.013111,           0.0065304,           0.0090208,           0.0090208,           0.0090208
                 109,            0.051819,            0.016918,           0.0084325,             0.64619,             0.48221,             0.50655,             0.21486,            0.045463,            0.013235,           0.0063844,           0.0090031,           0.0090031,           0.0090031
                 110,            0.052418,            0.017085,           0.0086145,             0.64611,             0.44398,             0.45264,             0.18843,            0.045969,            0.013013,           0.0068185,           0.0089853,           0.0089853,           0.0089853
                 111,            0.052119,            0.016492,           0.0086387,             0.61146,             0.44033,             0.47556,             0.19875,            0.047393,            0.012853,           0.0064282,           0.0089673,           0.0089673,           0.0089673
                 112,             0.05177,            0.015495,           0.0094959,             0.62052,             0.51981,             0.52544,              0.2274,            0.044688,            0.012608,           0.0061225,           0.0089492,           0.0089492,           0.0089492
                 113,            0.052417,            0.015627,           0.0088059,             0.60962,             0.50371,             0.51045,             0.20038,            0.044893,            0.012804,           0.0061258,            0.008931,            0.008931,            0.008931
                 114,            0.051154,            0.016193,           0.0076432,             0.55694,             0.50457,               0.492,             0.19308,            0.047283,            0.012902,           0.0060345,           0.0089126,           0.0089126,           0.0089126
                 115,            0.050103,            0.015578,            0.007113,             0.60355,             0.53801,             0.53771,             0.21241,            0.045696,            0.012499,           0.0057263,           0.0088941,           0.0088941,           0.0088941
                 116,            0.051948,            0.016476,            0.008543,             0.62289,             0.52489,             0.54889,             0.23383,            0.045117,            0.012471,            0.005187,           0.0088755,           0.0088755,           0.0088755
                 117,            0.048923,            0.015709,            0.006521,             0.61177,             0.55048,             0.55749,             0.23272,            0.045014,            0.012455,           0.0053068,           0.0088567,           0.0088567,           0.0088567
                 118,            0.049519,            0.016242,           0.0070735,             0.60637,              0.5235,             0.53115,             0.22958,            0.045527,            0.012615,           0.0056232,           0.0088378,           0.0088378,           0.0088378
                 119,            0.051841,            0.016382,           0.0066341,             0.57916,             0.54859,             0.53905,             0.22564,             0.04546,             0.01248,           0.0051761,           0.0088188,           0.0088188,           0.0088188
                 120,            0.051663,            0.015594,           0.0072537,             0.63626,             0.53796,             0.56362,             0.22357,             0.04687,            0.012539,           0.0051366,           0.0087996,           0.0087996,           0.0087996
                 121,            0.052635,            0.016253,           0.0073884,              0.6393,             0.57283,             0.57075,             0.24254,            0.045043,             0.01225,            0.005132,           0.0087804,           0.0087804,           0.0087804
                 122,            0.050015,            0.015889,           0.0072241,             0.73488,             0.51361,             0.57778,             0.23825,            0.044361,            0.012483,           0.0050344,           0.0087609,           0.0087609,           0.0087609
                 123,            0.048978,            0.015923,           0.0069112,             0.60446,             0.54511,             0.55171,              0.2245,            0.045577,            0.012473,           0.0052583,           0.0087414,           0.0087414,           0.0087414
                 124,            0.049917,            0.016781,            0.007154,             0.68327,             0.50589,             0.54476,             0.23697,            0.044116,            0.012557,           0.0052014,           0.0087217,           0.0087217,           0.0087217
                 125,            0.049384,            0.015699,           0.0080818,             0.68733,             0.54602,             0.58016,             0.25185,            0.044026,            0.012316,           0.0047628,           0.0087019,           0.0087019,           0.0087019
                 126,             0.05085,            0.016098,           0.0059507,             0.61318,             0.54793,             0.55942,             0.22716,            0.045494,            0.012348,           0.0046403,            0.008682,            0.008682,            0.008682
                 127,            0.049518,            0.015726,           0.0061125,             0.62608,             0.57132,             0.57451,             0.24376,            0.043415,            0.012336,           0.0045949,           0.0086619,           0.0086619,           0.0086619
                 128,            0.050309,            0.016998,           0.0057967,             0.68074,             0.55906,             0.60427,               0.258,            0.043796,            0.012271,           0.0047025,           0.0086417,           0.0086417,           0.0086417
                 129,             0.04882,            0.015215,           0.0071395,             0.67394,             0.53708,             0.58926,             0.25993,            0.042288,            0.012448,           0.0047036,           0.0086214,           0.0086214,           0.0086214
                 130,            0.047928,            0.016422,           0.0061429,             0.64131,             0.56613,             0.58111,             0.24707,            0.041711,            0.012305,           0.0044779,            0.008601,            0.008601,            0.008601
                 131,            0.048763,            0.015724,           0.0063525,             0.67406,             0.55863,             0.59853,             0.24493,            0.043078,            0.012103,           0.0043756,           0.0085805,           0.0085805,           0.0085805
                 132,            0.050078,            0.016004,           0.0069616,             0.62626,             0.54239,              0.5467,             0.21488,            0.045432,            0.012573,           0.0047288,           0.0085598,           0.0085598,           0.0085598
                 133,            0.050046,            0.015086,           0.0058279,              0.7148,             0.49295,             0.54853,              0.2364,            0.043476,            0.012851,           0.0053597,            0.008539,            0.008539,            0.008539
                 134,            0.049698,             0.01549,           0.0061887,             0.71264,             0.55537,             0.61194,             0.27184,            0.042371,            0.012363,           0.0046461,           0.0085181,           0.0085181,           0.0085181
